row_id,order_id,order__date,ship__date,ship__mode,customer_id,customer__name,segment,country,city,state,postal__code,region,product_id,category,sub-_category,product__name,sales
1,CA-2017-152156,08-11-2017,11-11-2017,Second Class,CG-12520,claire gute,Consumer,United States,Henderson,Kentucky,42420.0,South,FUR-BO-10001798,Furniture,Bookcases,bush somerset collection bookcase,261.96
2,CA-2017-152156,08-11-2017,11-11-2017,Second Class,CG-12520,claire gute,Consumer,United States,Henderson,Kentucky,42420.0,South,FUR-CH-10000454,Furniture,Chairs,"hon deluxe fabric upholstered stacking chairs, rounded back",731.94
3,CA-2017-138688,12-06-2017,16-06-2017,Second Class,DV-13045,darrin van huff,Corporate,United States,Los Angeles,California,90036.0,West,OFF-LA-10000240,Office Supplies,Labels,self-adhesive address labels for typewriters by universal,14.62
4,US-2016-108966,11-10-2016,18-10-2016,Standard Class,SO-20335,sean o'donnell,Consumer,United States,Fort Lauderdale,Florida,33311.0,South,FUR-TA-10000577,Furniture,Tables,bretford cr4500 series slim rectangular table,957.5775
5,US-2016-108966,11-10-2016,18-10-2016,Standard Class,SO-20335,sean o'donnell,Consumer,United States,Fort Lauderdale,Florida,33311.0,South,OFF-ST-10000760,Office Supplies,Storage,eldon fold 'n roll cart system,22.368
6,CA-2015-115812,09-06-2015,14-06-2015,Standard Class,BH-11710,brosina hoffman,Consumer,United States,Los Angeles,California,90032.0,West,FUR-FU-10001487,Furniture,Furnishings,"eldon expressions wood and plastic desk accessories, cherry wood",48.86
7,CA-2015-115812,09-06-2015,14-06-2015,Standard Class,BH-11710,brosina hoffman,Consumer,United States,Los Angeles,California,90032.0,West,OFF-AR-10002833,Office Supplies,Art,newell 322,7.28
8,CA-2015-115812,09-06-2015,14-06-2015,Standard Class,BH-11710,brosina hoffman,Consumer,United States,Los Angeles,California,90032.0,West,TEC-PH-10002275,Technology,Phones,mitel 5320 ip phone voip phone,907.152
9,CA-2015-115812,09-06-2015,14-06-2015,Standard Class,BH-11710,brosina hoffman,Consumer,United States,Los Angeles,California,90032.0,West,OFF-BI-10003910,Office Supplies,Binders,dxl angle-view binders with locking rings by samsill,18.504
10,CA-2015-115812,09-06-2015,14-06-2015,Standard Class,BH-11710,brosina hoffman,Consumer,United States,Los Angeles,California,90032.0,West,OFF-AP-10002892,Office Supplies,Appliances,belkin f5c206vtel 6 outlet surge,114.9
11,CA-2015-115812,09-06-2015,14-06-2015,Standard Class,BH-11710,brosina hoffman,Consumer,United States,Los Angeles,California,90032.0,West,FUR-TA-10001539,Furniture,Tables,chromcraft rectangular conference tables,1706.184
12,CA-2015-115812,09-06-2015,14-06-2015,Standard Class,BH-11710,brosina hoffman,Consumer,United States,Los Angeles,California,90032.0,West,TEC-PH-10002033,Technology,Phones,konftel 250 conference phone - charcoal black,911.424
13,CA-2018-114412,15-04-2018,20-04-2018,Standard Class,AA-10480,andrew allen,Consumer,United States,Concord,North Carolina,28027.0,South,OFF-PA-10002365,Office Supplies,Paper,xerox 1967,15.552
14,CA-2017-161389,05-12-2017,10-12-2017,Standard Class,IM-15070,irene maddox,Consumer,United States,Seattle,Washington,98103.0,West,OFF-BI-10003656,Office Supplies,Binders,fellowes pb200 plastic comb binding machine,407.976
15,US-2016-118983,22-11-2016,26-11-2016,Standard Class,HP-14815,harold pawlan,Home Office,United States,Fort Worth,Texas,76106.0,Central,OFF-AP-10002311,Office Supplies,Appliances,"holmes replacement filter for hepa air cleaner, very large room, hepa filter",68.81
16,US-2016-118983,22-11-2016,26-11-2016,Standard Class,HP-14815,harold pawlan,Home Office,United States,Fort Worth,Texas,76106.0,Central,OFF-BI-10000756,Office Supplies,Binders,storex duratech recycled plastic frosted binders,2.544
17,CA-2015-105893,11-11-2015,18-11-2015,Standard Class,PK-19075,pete kriz,Consumer,United States,Madison,Wisconsin,53711.0,Central,OFF-ST-10004186,Office Supplies,Storage,"stur-d-stor shelving, vertical 5-shelf: 72""h x 36""w x 18 1/2""d",665.88
18,CA-2015-167164,13-05-2015,15-05-2015,Second Class,AG-10270,alejandro grove,Consumer,United States,West Jordan,Utah,84084.0,West,OFF-ST-10000107,Office Supplies,Storage,fellowes super stor/drawer,55.5
19,CA-2015-143336,27-08-2015,01-09-2015,Second Class,ZD-21925,zuschuss donatelli,Consumer,United States,San Francisco,California,94109.0,West,OFF-AR-10003056,Office Supplies,Art,newell 341,8.56
20,CA-2015-143336,27-08-2015,01-09-2015,Second Class,ZD-21925,zuschuss donatelli,Consumer,United States,San Francisco,California,94109.0,West,TEC-PH-10001949,Technology,Phones,cisco spa 501g ip phone,213.48
21,CA-2015-143336,27-08-2015,01-09-2015,Second Class,ZD-21925,zuschuss donatelli,Consumer,United States,San Francisco,California,94109.0,West,OFF-BI-10002215,Office Supplies,Binders,"wilson jones hanging view binder, white, 1""",22.72
22,CA-2017-137330,09-12-2017,13-12-2017,Standard Class,KB-16585,ken black,Corporate,United States,Fremont,Nebraska,68025.0,Central,OFF-AR-10000246,Office Supplies,Art,newell 318,19.46
23,CA-2017-137330,09-12-2017,13-12-2017,Standard Class,KB-16585,ken black,Corporate,United States,Fremont,Nebraska,68025.0,Central,OFF-AP-10001492,Office Supplies,Appliances,"acco six-outlet power strip, 4' cord length",60.34
24,US-2018-156909,16-07-2018,18-07-2018,Second Class,SF-20065,sandra flanagan,Consumer,United States,Philadelphia,Pennsylvania,19140.0,East,FUR-CH-10002774,Furniture,Chairs,"global deluxe stacking chair, gray",71.372
25,CA-2016-106320,25-09-2016,30-09-2016,Standard Class,EB-13870,emily burns,Consumer,United States,Orem,Utah,84057.0,West,FUR-TA-10000577,Furniture,Tables,bretford cr4500 series slim rectangular table,1044.63
26,CA-2017-121755,16-01-2017,20-01-2017,Second Class,EH-13945,eric hoffmann,Consumer,United States,Los Angeles,California,90049.0,West,OFF-BI-10001634,Office Supplies,Binders,wilson jones active use binders,11.648
27,CA-2017-121755,16-01-2017,20-01-2017,Second Class,EH-13945,eric hoffmann,Consumer,United States,Los Angeles,California,90049.0,West,TEC-AC-10003027,Technology,Accessories,imation 8gb mini traveldrive usb 2.0 flash drive,90.57
28,US-2016-150630,17-09-2016,21-09-2016,Standard Class,TB-21520,tracy blumstein,Consumer,United States,Philadelphia,Pennsylvania,19140.0,East,FUR-BO-10004834,Furniture,Bookcases,"riverside palais royal lawyers bookcase, royale cherry finish",3083.43
29,US-2016-150630,17-09-2016,21-09-2016,Standard Class,TB-21520,tracy blumstein,Consumer,United States,Philadelphia,Pennsylvania,19140.0,East,OFF-BI-10000474,Office Supplies,Binders,avery recycled flexi-view covers for binding systems,9.618
30,US-2016-150630,17-09-2016,21-09-2016,Standard Class,TB-21520,tracy blumstein,Consumer,United States,Philadelphia,Pennsylvania,19140.0,East,FUR-FU-10004848,Furniture,Furnishings,"howard miller 13-3/4"" diameter brushed chrome round wall clock",124.2
31,US-2016-150630,17-09-2016,21-09-2016,Standard Class,TB-21520,tracy blumstein,Consumer,United States,Philadelphia,Pennsylvania,19140.0,East,OFF-EN-10001509,Office Supplies,Envelopes,poly string tie envelopes,3.264
32,US-2016-150630,17-09-2016,21-09-2016,Standard Class,TB-21520,tracy blumstein,Consumer,United States,Philadelphia,Pennsylvania,19140.0,East,OFF-AR-10004042,Office Supplies,Art,"boston model 1800 electric pencil sharpeners, putty/woodgrain",86.304
33,US-2016-150630,17-09-2016,21-09-2016,Standard Class,TB-21520,tracy blumstein,Consumer,United States,Philadelphia,Pennsylvania,19140.0,East,OFF-BI-10001525,Office Supplies,Binders,"acco pressboard covers with storage hooks, 14 7/8"" x 11"", executive red",6.858
34,US-2016-150630,17-09-2016,21-09-2016,Standard Class,TB-21520,tracy blumstein,Consumer,United States,Philadelphia,Pennsylvania,19140.0,East,OFF-AR-10001683,Office Supplies,Art,lumber crayons,15.76
35,CA-2018-107727,19-10-2018,23-10-2018,Second Class,MA-17560,matt abelman,Home Office,United States,Houston,Texas,77095.0,Central,OFF-PA-10000249,Office Supplies,Paper,easy-staple paper,29.472
36,CA-2017-117590,08-12-2017,10-12-2017,First Class,GH-14485,gene hale,Corporate,United States,Richardson,Texas,75080.0,Central,TEC-PH-10004977,Technology,Phones,ge 30524ee4,1097.544
37,CA-2017-117590,08-12-2017,10-12-2017,First Class,GH-14485,gene hale,Corporate,United States,Richardson,Texas,75080.0,Central,FUR-FU-10003664,Furniture,Furnishings,"electrix architect's clamp-on swing arm lamp, black",190.92
38,CA-2016-117415,27-12-2016,31-12-2016,Standard Class,SN-20710,steve nguyen,Home Office,United States,Houston,Texas,77041.0,Central,OFF-EN-10002986,Office Supplies,Envelopes,"#10-4 1/8"" x 9 1/2"" premium diagonal seam envelopes",113.328
39,CA-2016-117415,27-12-2016,31-12-2016,Standard Class,SN-20710,steve nguyen,Home Office,United States,Houston,Texas,77041.0,Central,FUR-BO-10002545,Furniture,Bookcases,"atlantic metals mobile 3-shelf bookcases, custom colors",532.3992
40,CA-2016-117415,27-12-2016,31-12-2016,Standard Class,SN-20710,steve nguyen,Home Office,United States,Houston,Texas,77041.0,Central,FUR-CH-10004218,Furniture,Chairs,"global fabric manager's chair, dark gray",212.058
41,CA-2016-117415,27-12-2016,31-12-2016,Standard Class,SN-20710,steve nguyen,Home Office,United States,Houston,Texas,77041.0,Central,TEC-PH-10000486,Technology,Phones,plantronics hl10 handset lifter,371.168
42,CA-2018-120999,10-09-2018,15-09-2018,Standard Class,LC-16930,linda cazamias,Corporate,United States,Naperville,Illinois,60540.0,Central,TEC-PH-10004093,Technology,Phones,panasonic kx-ts550,147.168
43,CA-2017-101343,17-07-2017,22-07-2017,Standard Class,RA-19885,ruben ausman,Corporate,United States,Los Angeles,California,90049.0,West,OFF-ST-10003479,Office Supplies,Storage,"eldon base for stackable storage shelf, platinum",77.88
44,CA-2018-139619,19-09-2018,23-09-2018,Standard Class,ES-14080,erin smith,Corporate,United States,Melbourne,Florida,32935.0,South,OFF-ST-10003282,Office Supplies,Storage,"advantus 10-drawer portable organizer, chrome metal frame, smoke drawers",95.616
45,CA-2017-118255,11-03-2017,13-03-2017,First Class,ON-18715,odella nelson,Corporate,United States,Eagan,Minnesota,55122.0,Central,TEC-AC-10000171,Technology,Accessories,"verbatim 25 gb 6x blu-ray single layer recordable disc, 25/pack",45.98
46,CA-2017-118255,11-03-2017,13-03-2017,First Class,ON-18715,odella nelson,Corporate,United States,Eagan,Minnesota,55122.0,Central,OFF-BI-10003291,Office Supplies,Binders,wilson jones leather-like binders with dubllock round rings,17.46
